story_id,test_case_id,scenario,precondition,given,when,then,priority,notes,ac_refs,test_result
ST-006,TC-017,"View comprehensive endpoint documentation",,"I am viewing an endpoint in the API Reference","I scroll through the endpoint documentation","I see: endpoint URL, HTTP method badge, description, authentication requirements, request parameters table (with Name/Type/Required/Description columns), response schema with example JSON, and error codes table","P0","Complete endpoint documentation structure","AC-071, AC-072, AC-073, AC-079, AC-080, AC-081, AC-082",Not Testable
ST-006,TC-018,"Copy code example from endpoint docs",,"I am viewing endpoint documentation with code examples","I click the 'Copy' button on a code block","The code is copied to my clipboard and the button shows 'Copied!' feedback for 2 seconds","P0","Code copy functionality","AC-076",Not Testable
ST-006,TC-019,"Toggle between success and error response examples",,"I am viewing an endpoint's response schema section","I toggle between success response and error response samples","Both response types are shown with properly formatted, syntax-highlighted JSON using realistic sample data","P1","Response example toggle","AC-074, AC-078, AC-084",Not Testable
ST-007,TC-020,"Switch between code example languages",,"I am viewing endpoint documentation with code examples","I click the 'JavaScript' tab from the language tabs (curl, JavaScript, Python, Java)","The code example switches to JavaScript showing a complete working example with authentication header, request, and expected response","P0","Multi-language code examples","AC-086, AC-087, AC-090, AC-093, AC-094",Not Testable
ST-007,TC-021,"Copy code example in different language",,"I have selected the Python language tab","I click the 'Copy' button","The Python code is copied to my clipboard, the button shows 'Copied!' feedback, and my language selection (Python) is saved for subsequent pages","P0","Copy and persistence of language selection","AC-088, AC-089, AC-091, AC-092",Not Testable
ST-007,TC-022,"View code examples with proper syntax",,"I am viewing code examples in all 4 languages","I review the code quality","JavaScript uses ES6+ async/await, Python uses requests library, Java uses modern Java 11+ syntax, and all include proper error handling","P1","Code quality validation","AC-095, AC-096, AC-097, AC-098",Not Testable
ST-008,TC-023,"View sticky sidebar navigation on scroll",,"I am on the API Reference page (desktop)","I scroll down through multiple endpoints","The sidebar remains fixed/sticky and highlights the currently visible endpoint as I scroll","P0","Sidebar sticky positioning and highlighting","AC-099, AC-100, AC-101, AC-103, AC-104",Not Testable
ST-008,TC-024,"Navigate via sidebar click",,"I am viewing the API Reference with sidebar","I click an endpoint in the sidebar","The page scrolls smoothly to that endpoint's documentation and highlights it in the sidebar","P0","Sidebar navigation interaction","AC-105, AC-106, AC-109",Not Testable
ST-008,TC-025,"Expand/collapse sidebar categories",,"I am viewing the sidebar with a collapsed category","I click the category expand icon","The category expands with smooth animation showing its endpoints","P1","Accordion behavior","AC-102, AC-104, AC-107",Not Testable
ST-009,TC-026,"View breadcrumb navigation",,"I am viewing a specific endpoint documentation page","I look at the top of the content area","I see breadcrumbs showing: Home > API Reference > Tracking > GET /shipments, with each level clickable except the current page","P0","Breadcrumb display and structure","AC-113, AC-114, AC-115, AC-120",Not Testable
ST-009,TC-027,"Navigate using breadcrumbs",,"I am on an endpoint documentation page","I click 'API Reference' in the breadcrumbs","I am navigated to the API Reference overview page","P0","Breadcrumb click navigation","AC-117",Not Testable
ST-009,TC-028,"Use table of contents anchor links",,"I am viewing endpoint documentation","I click an anchor link in the table of contents (e.g., #authentication)","The page scrolls smoothly to that section, and the URL updates with the hash fragment for sharable deep linking","P0","Anchor link navigation and URL updates","AC-116, AC-118, AC-119, AC-121, AC-122",Not Testable
ST-010,TC-029,"Search for error code in documentation",,"I encounter a 401 error and need help","I search for '401' in the portal search or browse to Error Documentation","I find the error documentation showing: 401 Unauthorized, description, common causes (missing/invalid API key), and solution","P0","Error code discovery","AC-126, AC-127, AC-130, AC-133",Not Testable
ST-010,TC-030,"Browse error documentation by HTTP status",,"I am on the Error Documentation page","I view the list of errors","I see errors organized by HTTP status code (400, 401, 403, 404, 429, 500) with ONE LINE-specific error names and descriptions","P0","Error documentation structure","AC-127, AC-128, AC-133",Not Testable
ST-010,TC-031,"Search error docs using search functionality",,"I am using the portal search","I type a specific error code '429'","The search returns the error documentation for 'Rate Limit Exceeded' in the results","P1","Error search integration","AC-129, AC-130",Not Testable
ST-011,TC-032,"View detailed error explanation with examples",,"I am viewing error documentation for 400 Bad Request","I read the error entry","I see: common causes list (2-3 bullet points), example incorrect request (code block), example correct request (code block), and link to related endpoint documentation","P0","Error explanation completeness","AC-138, AC-139, AC-140, AC-143, AC-144, AC-146",Not Testable
ST-011,TC-033,"Navigate to related docs from error explanation",,"I am viewing a 401 Unauthorized error explanation","I click the 'related documentation' link","I am navigated to the Authentication section of Getting Started or relevant endpoint docs","P0","Error-to-docs navigation","AC-141, AC-145",Not Testable
ST-011,TC-034,"Understand error with plain language",,"I am a junior developer viewing error documentation","I read the error explanations","The explanations use plain language, realistic examples in curl format, and actionable troubleshooting steps","P1","Error documentation accessibility","AC-147, AC-148, AC-149",Not Testable
ST-012,TC-035,"View authentication documentation",,"I am reading the Authentication section","I view the documentation","I see: API key format (Bearer token), how to include it in Authorization header, and a clear curl example with 'Authorization: Bearer YOUR_API_KEY'","P0","Authentication documentation completeness","AC-150, AC-151, AC-152, AC-154, AC-158",Not Testable
ST-012,TC-036,"Understand rate limits",,"I am reading the Rate Limits section","I review the documentation","I see: requests per minute/hour limits (e.g., 100/min, 1000/hour), how to check remaining quota via response headers (X-RateLimit-Remaining), and 429 error behavior with Retry-After header","P0","Rate limit documentation","AC-151, AC-153, AC-155, AC-156",Not Testable
ST-012,TC-037,"Review authentication security best practices",,"I am reading the authentication docs","I scroll to security best practices","I see recommendations: don't commit API keys to version control, rotate keys periodically, use environment variables","P1","Security guidance","AC-160",Not Testable
ST-013,TC-038,"View changelog page with recent updates",,"Portal has API changes documented","I navigate to the Changelog page from main navigation","I see a list of changelog entries sorted by date (newest first), with each entry showing date (YYYY-MM-DD), update type tag (Added/Changed/Fixed/Deprecated/Removed), and short summary","P0","Changelog page structure","AC-161, AC-162, AC-163, AC-165, AC-167",Not Testable
ST-013,TC-039,"Identify breaking changes in changelog",,"Changelog includes a breaking change","I browse the changelog","I see a changelog entry prominently marked with a 'Breaking Change' badge or tag","P1","Breaking change visibility","AC-168, AC-169, AC-171",Not Testable
ST-013,TC-040,"Subscribe to changelog updates via RSS",,"Changelog has RSS feed available (optional feature)","I view the Changelog page","I see an option to subscribe to the changelog via RSS feed","P2","Changelog subscription (optional)","AC-172",Not Testable
ST-014,TC-041,"Expand changelog entry for details",,"I am viewing the changelog with collapsed entries","I click a changelog entry to expand it","The entry expands smoothly showing detailed description, affected endpoints list (with URLs and HTTP methods), migration guide with before/after code examples, and links to updated documentation","P0","Changelog entry expansion","AC-173, AC-174, AC-175, AC-177, AC-178, AC-179, AC-181",Not Testable
ST-014,TC-042,"View migration guide for breaking change",,"A breaking change is documented in changelog","I expand that changelog entry","The migration guide clearly explains what changed with before/after code examples and how to update existing integrations","P0","Migration guide for breaking changes","AC-180, AC-182, AC-183",Not Testable
ST-014,TC-043,"Navigate to updated docs from changelog",,"I have expanded a changelog entry","I click the 'View updated docs' link for an affected endpoint","I am navigated to that endpoint's documentation page, ideally with anchor to the changed section","P0","Changelog-to-docs navigation","AC-176, AC-184",Not Testable
ST-015,TC-044,"View recently updated indicator on endpoint docs",,"An endpoint was updated recently (within 30 days)","I visit that endpoint's documentation","I see a 'Recently updated' badge or indicator on changed fields showing update date","P0","Updated field indicators","AC-188, AC-192",Not Testable
ST-015,TC-045,"Navigate back to changelog from endpoint",,"I navigated from changelog to endpoint docs","I want to return to the changelog","I can use breadcrumbs or back button showing 'Changelog' as previous page to navigate back","P1","Bidirectional navigation","AC-189, AC-193",Not Testable
ST-016,TC-046,"Rate documentation page helpfulness",,"I have read an endpoint documentation page","I scroll to the bottom and see the feedback widget","I click a star rating (e.g., 4 stars) and click Submit, then see 'Thank you for your feedback!' confirmation","P0","Feedback widget rating submission","AC-194, AC-195, AC-197, AC-198, AC-201, AC-202",Not Testable
ST-016,TC-047,"Submit feedback without authentication",,"I am an anonymous user (not logged in)","I rate a documentation page","My feedback is recorded successfully without requiring login or authentication","P1","Anonymous feedback support","AC-199, AC-200",Not Testable
ST-016,TC-048,"View feedback widget on mobile",,"I am viewing documentation on mobile","I scroll to the feedback widget","The widget is responsive, doesn't block content, and is easy to interact with on a small screen","P2","Mobile feedback widget usability","AC-196, AC-205",Not Testable
ST-017,TC-049,"Submit rating with optional written comment",,"I am viewing the feedback widget","I click 4 stars, type a comment 'The examples are helpful' (within 500 char limit), and click Submit","Both my rating and comment are submitted, and I see confirmation message","P0","Feedback with comment submission","AC-207, AC-208, AC-210, AC-211, AC-214, AC-216",Not Testable
ST-017,TC-050,"Respect character limit in feedback comment",,"I am typing a comment in the feedback widget","I type 500 characters","The character count shows '500/500', and when I try to type more, input stops accepting characters and shows 'Limit reached' warning","P1","Character limit enforcement","AC-208, AC-209, AC-213",Not Testable
ST-017,TC-051,"Expand text input for longer feedback",,"I am using the feedback widget","I click in the text input field","The field expands to a multi-line textarea (3-5 rows) allowing me to write longer feedback comfortably","P1","Textarea expansion behavior","AC-211, AC-212, AC-220",Not Testable
